alpha,L,v,D
-6,-36.873004,38.8,-8.3356525
-4,-21.770763,39.3,-6.9627215
-2,-12.748645,39.7,-5.61921045
0,12.0621795,39.9,-4.4326058
2,38.049802,40,-4.707192
4,47.268053,40.2,-4.1580196
6,87.671451,39.7,-4.9621649
8,99.047165,39.6,-5.2367511
10,113.75714,39.4,-10.8853815
12,9.6497436,39.6,-17.455837
